w1,w2,w3
0.36224,0.087443,0.16024
0.30263,0.05699,0.12206
0.27073,0.039106,0.10047
0.2575,0.029401,0.089827
0.32138,0.059054,0.12855
0.29321,0.050929,0.11511
0.35278,0.075854,0.14921
0.27716,0.040971,0.10354
0.29956,0.056011,0.12053
0.26318,0.034459,0.09505
0.28985,0.047996,0.11206
0.31193,0.050147,0.1195
0.25582,0.033654,0.092508
0.30794,0.052596,0.12024
0.29791,0.054243,0.11879
0.2965,0.049623,0.11502
0.24916,0.033456,0.090597
0.29471,0.049259,0.11428
0.3457,0.071485,0.14413
0.29458,0.043242,0.10982
0.29271,0.047247,0.11227
0.30413,0.054325,0.1205
0.33162,0.064177,0.13502
0.36425,0.083695,0.15802
0.31733,0.056779,0.1258
0.38791,0.10465,0.17969
0.34589,0.069761,0.14291
0.30137,0.04419,0.11232
0.27373,0.043103,0.1042
0.27159,0.04584,0.10564
0.26506,0.0342,0.095358
0.31027,0.056119,0.12345
0.33801,0.066498,0.13842
0.35337,0.078825,0.15155
0.34447,0.074509,0.14602
0.33094,0.068009,0.13766
0.28391,0.044634,0.10802
0.36352,0.085718,0.15931
0.37234,0.091631,0.16599
0.30703,0.048995,0.11735
0.30634,0.045437,0.11455
0.31255,0.052787,0.1216
0.34674,0.073487,0.14587
0.29679,0.050715,0.1159
0.37085,0.090349,0.16466
0.31558,0.054935,0.12398
0.3505,0.074011,0.14726
0.3484,0.074538,0.14709
0.36099,0.084109,0.15746
0.33085,0.064089,0.13476
0.29887,0.054732,0.11941
0.29493,0.049264,0.11434
0.30325,0.053028,0.11931
0.32061,0.057849,0.12746
0.29957,0.052959,0.11829
0.29667,0.047964,0.11385
0.33493,0.068642,0.13918
0.30335,0.058658,0.12348
0.36455,0.086828,0.1604
0.37853,0.098591,0.17275
0.38368,0.10158,0.17631
0.35148,0.075983,0.14896
0.36524,0.084493,0.15887
0.2848,0.043503,0.10742
0.28852,0.0436,0.10848
0.36226,0.081868,0.15614
0.316,0.057147,0.12572
0.32538,0.059608,0.13001
0.32475,0.056991,0.12792
0.32125,0.060892,0.12986
0.35264,0.07647,0.14963
0.38206,0.10057,0.17514
0.33409,0.060406,0.13291
0.34696,0.074754,0.14686
0.34589,0.071882,0.14447
0.35196,0.075888,0.14902
0.28007,0.040842,0.10422
0.31069,0.054514,0.12238
0.36919,0.08973,0.16376
0.3201,0.061039,0.12967
0.28721,0.043818,0.1083
0.32151,0.057189,0.12721
0.36195,0.083843,0.15751
0.36097,0.084741,0.15792
0.3139,0.053243,0.12229
0.35424,0.077732,0.15098
0.32855,0.063229,0.13351
0.30173,0.046014,0.11375
0.33927,0.068406,0.14016
0.29427,0.050184,0.11484
0.36473,0.084446,0.1587
0.36159,0.082981,0.15679
0.27927,0.040283,0.10359
0.30262,0.053137,0.11923
0.36499,0.085443,0.1595
0.35641,0.079462,0.15283
0.33831,0.063357,0.13619
0.34377,0.070284,0.14273
0.31775,0.059687,0.12805
0.34491,0.075185,0.14664
0.37922,0.097363,0.17203
0.32928,0.060529,0.13172
0.38298,0.098438,0.17382
0.39161,0.10857,0.18355
0.33035,0.064313,0.13479
0.27337,0.038094,0.10042
0.36599,0.08708,0.16096
0.35482,0.075898,0.14979
0.27136,0.038708,0.10034
0.30732,0.052273,0.11984
0.3094,0.058261,0.12479
0.30826,0.056345,0.12308
0.32051,0.063374,0.13149
0.30118,0.052626,0.11847
0.2907,0.050565,0.11418
0.29344,0.043715,0.10987
0.36639,0.087178,0.16114
0.34207,0.071719,0.14334
0.38603,0.10499,0.17944
0.3458,0.074708,0.14652
0.30651,0.056235,0.12254
0.30139,0.04829,0.11534
0.35311,0.076505,0.14978
0.29493,0.045185,0.11135
0.35265,0.081265,0.15316
0.31067,0.05796,0.1249
0.33791,0.070515,0.14135
0.35643,0.080899,0.15389
0.35016,0.077255,0.14955
0.31157,0.048782,0.1184
0.36305,0.083282,0.1574
0.27379,0.041402,0.10296
0.31667,0.053405,0.12315
0.32996,0.068123,0.13749
0.36069,0.080978,0.15508
0.32399,0.059239,0.12937
0.29223,0.048093,0.11277
0.32492,0.065732,0.13439
0.34505,0.071973,0.14431
0.3381,0.069303,0.14051
0.29569,0.045381,0.11169
0.28847,0.043341,0.10828
0.36635,0.088256,0.16193
0.29092,0.043129,0.10877
0.35621,0.082299,0.15486
0.33367,0.059671,0.13225
0.34901,0.078215,0.14995
0.36235,0.086298,0.15943
0.38489,0.10451,0.17878
0.36389,0.083285,0.15762
0.32721,0.065351,0.13472
0.34292,0.071874,0.14368
0.38981,0.10601,0.18119
0.2875,0.046084,0.11004
0.31516,0.056926,0.12533
0.3685,0.084264,0.15956
0.3467,0.069608,0.14301
0.28008,0.043539,0.1062
0.29691,0.050366,0.11568
0.39064,0.10914,0.18371
0.30623,0.053566,0.1205
0.349,0.079364,0.15079
0.38863,0.10651,0.18125
0.34537,0.071876,0.14433
0.28398,0.04386,0.10747
0.36863,0.090345,0.16406
0.38554,0.10442,0.17889
0.34916,0.079508,0.15094
0.37111,0.091453,0.16554
0.32325,0.062598,0.13165
0.3493,0.074421,0.14724
0.30064,0.052135,0.11797
0.35681,0.079734,0.15313
0.37655,0.091071,0.1667
0.32118,0.052156,0.12342
0.34159,0.070632,0.14241
0.29155,0.049523,0.11364
0.30953,0.054218,0.12185
0.30335,0.05121,0.118
0.28303,0.044004,0.10732
0.36792,0.089409,0.16319
0.29928,0.050405,0.11633
0.38314,0.10108,0.1758
0.3612,0.082324,0.1562
0.31706,0.052987,0.12294
0.30701,0.05196,0.11953
0.28506,0.040604,0.10536
0.33899,0.070149,0.14137
0.34951,0.076564,0.14887
0.35367,0.077466,0.15063
0.35695,0.081696,0.15461
0.36772,0.090776,0.16414
0.36292,0.086022,0.15937
0.40749,0.12109,0.19696
0.38348,0.10209,0.17663
